asin	itemID
B000043BB1	0
B0000UZL0K	1
B0000KX6EJ	2
B0000MOU3U	3
B0000PX2B6	4
B00001SVL7	5
B0000P9722	6
B0000VY46V	7
B0000QH67A	8
B0000O4C96	9
B0000Q78W7	10
B0000TXVFZ	11
B00002DAQ7	12
B00001RL5X	13
B0000O89NS	14
B0000JCVGO	15
B0000K3YIS	16
B0000SK409	17
B0000XIDNE	18
B0000QAIR8	19
B0000NIQHX	20
B0000ASJLH	21
B0000J2NLA	22
B000095Z7Y	23
B0000EM939	24
B0000I7H7D	25
B0000LATPO	26
B0000OBH6P	27
B0000ITPGC	28
B0000ZF9XU	29
B0000UHPSY	30
B0000Y0JP3	31
B000077CUA	32
B0000PHKG6	33
B0000FK0NB	34
B0000AAGFF	35
B0000Q7WK5	36
B0000GK4V7	37
B0000XK0QI	38
B00003UAEU	39
B0000XG4PS	40
B0000ZMHOY	41
B0000U3SJ3	42
B0000I092E	43
B0000A6MI3	44
B00009BDHX	45
B0000OCIRD	46
B0000JXOUG	47
B00005KTMR	48
B0000S2A1I	49
B0000FQUJQ	50
B0000T44PW	51
B0000BUFW9	52
B0000MSQ17	53
B0000SLVSS	54
B0000KJCTY	55
B0000EC1Y3	56
B0000OJIPS	57
B0000KREG4	58
B0000RO4ZW	59
B0000JHQGU	60
B000028UOS	61
B0000MNNPX	62
B0000A0DAV	63
B0000J8VAB	64
B0000Z8TFK	65
B00003SNBY	66
B0000GYSWC	67
B0000TNWI1	68
B0000EGN3I	69
B0000J6QZ7	70
B0000UNTBD	71
B0000G76X2	72
B0000ERF7W	73
B0000GUG44	74
B0000EE346	75
B00009HKME	76
B0000CXDZ4	77
B000099VRN	78
B0000W3GTP	79
B00006B1YJ	80
B0000E2KT0	81
B0000AGWEU	82
B0000O1EDY	83
B00009MDPZ	84
B000071W5I	85
B0000T83IK	86
B0000FOBHA	87
B0000X7R2T	88
B0000I7R5F	89
B0000CUMBV	90
B0000P7W1R	91
B0000D0PLR	92
B0000MPA80	93
B000047POO	94
B0000LDHQI	95
B0000O7FD2	96
B0000YSN78	97
B000067WYM	98
B0000E7GDG	99
B0000IWO2B	100
B00006A3CM	101
B0000C9562	102
B000059UGL	103
B0000EPNP3	104
B000021YQH	105
B0000T2SFN	106
B0000WW34B	107
B0000WHVEE	108
B0000UG56M	109
B0000N8COH	110
B0000VUZQP	111
B0000JCT4G	112
B0000M1WRC	113
B0000YHN0Z	114
B0000NUFWM	115
B0000EJJNN	116
B0000O405V	117
B0000FOOB8	118
B0000K2GSB	119
B00008ZC9D	120
B00001LYLR	121
B0000VWYHF	122
B0000OTV4E	123
B00001203D	124
B0000DCMHW	125
B000047SGQ	126
B0000YFOMV	127
B00006G6MZ	128
B00008WCAK	129
B0000YDGXP	130
B00002CABT	131
B000062ZH6	132
B0000BVDAM	133
B0000FVQ8D	134
B0000CXBGF	135
B0000UE92F	136
B0000FGQ5Z	137
B0000G0AJN	138
B0000TRY94	139
B0000A35U0	140
B00009TOE9	141
B0000ES96Q	142
B0000KXD41	143
B0000DO4PN	144
B0000D4X43	145
B0000H5D2A	146
B0000FMDSA	147
